country,year,area_pixels,lit_threshold,lit_fraction,light_mass_lit,mean_light_all,mean_light_lit,light_mass_per_pixel_all,pop_mass,light_per_pop
Brazil,2014,35075064,0.20725500583648682,0.07908880793489073,7493030.0,0.24799968302249908,2.701120615005493,0.2136284056388322,688299072.0,0.010886299727569588
Brazil,2015,35075064,0.19537168741226196,0.09097927804208711,7461547.0,0.2589034140110016,2.338233709335327,0.21273081639993585,693736640.0,0.010755590190536858
Brazil,2016,35075065,0.22776059806346893,0.06553632901321779,7144801.5,0.22307738661766052,3.1082043647766113,0.20370030675638093,699045696.0,0.010220793205484524
Brazil,2017,35075067,0.34393179416656494,0.10000009408392577,8149463.0,0.42082443833351135,2.323432683944702,0.2323434763503089,704194304.0,0.011572747683003128
Brazil,2018,35075405,0.3283333480358124,0.10010929310723568,8039995.5,0.41147515177726746,2.289700746536255,0.22922031833987377,709255680.0,0.011335821096279413
Brazil,2019,35075664,0.29499998688697815,0.10029537858499271,8080819.0,0.37569233775138855,2.2970399856567383,0.23038249539623826,714096256.0,0.011316148113231391
Brazil,2020,35075789,0.4008333384990692,0.10035355156230413,8168791.5,0.4583713710308075,2.320692539215088,0.23288974340676985,718504384.0,0.011369160275019283
Brazil,2021,35075791,0.4166666567325592,0.10004082302805374,8205680.0,0.4554694890975952,2.3384594917297363,0.23394140990291565,724377600.0,0.011327904120723778
Brazil,2022,35075831,0.4424999952316284,0.10023312063511766,8464336.0,0.47420212626457214,2.407540798187256,0.24131533761808807,737281280.0,0.011480470520016458
Brazil,2023,35075831,0.49416667222976685,0.10019873798570873,9370215.0,0.5328183174133301,2.6661179065704346,0.26714163949529807,741907456.0,0.012629897333178979
