country,year,n_tiles,beta_log_pop,r2_baseline,r2_plus_regime
Brazil,2014,608,0.18696505599528962,0.6167833840759965,0.7163378338403701
Brazil,2015,610,0.18171795273962596,0.6312096547357706,0.7155154739142959
Brazil,2016,606,0.18161598553361258,0.594154909090546,0.7150194129974402
Brazil,2017,611,0.17214596445624383,0.6345213731657968,0.7154940256120608
Brazil,2018,611,0.17191703167038408,0.628367472356959,0.7123816406644525
Brazil,2019,611,0.17803865656837575,0.6379293203513179,0.7253015845741674
Brazil,2020,611,0.16745165555024533,0.634036745916736,0.7143709489097168
Brazil,2021,611,0.17253689382329174,0.6547785828420654,0.7376582526965004
Brazil,2022,611,0.17402472952457979,0.6586812123122774,0.737959252065606
Brazil,2023,611,0.1771888411268582,0.66772065173789,0.7451449767297131
China,2014,829,0.10438211401291225,0.42137457056935723,0.6187647201214812
China,2015,829,0.10673958199095006,0.43413292304828843,0.6199303529717867
China,2016,828,0.11419549827721223,0.4525928654654183,0.6385102883922327
China,2017,829,0.11146322082636051,0.46000220852276497,0.6350332422105993
China,2018,829,0.11928550754989035,0.4801946528858415,0.6571057097183426
China,2019,829,0.12375994061358199,0.48335366638296795,0.675585638501619
China,2020,829,0.12665051254443474,0.4858261316371325,0.6695883455856916
China,2021,829,0.13101809473434015,0.49604502261463657,0.6853821221668106
China,2022,829,0.1278255040948933,0.49061481136996044,0.6842065817120742
China,2023,829,0.13453335441218042,0.5126486561844492,0.7000933797712712
Morocco,2014,48,0.16248439712822496,0.6018940349036509,0.7954338897141415
Morocco,2015,48,0.16749319870294097,0.5956389786813991,0.7918017582902956
Morocco,2016,48,0.17394889637095873,0.6293778463215112,0.8287522746151178
Morocco,2017,48,0.16098216041642527,0.6328924046387727,0.8317666116690231
Morocco,2018,48,0.1635545835828963,0.639796224972481,0.8295299974461454
Morocco,2019,48,0.1760374288999409,0.6577612448594097,0.8444794512708722
Morocco,2020,48,0.16421821628789982,0.6515762494507915,0.8418309868716607
Morocco,2021,48,0.16123064724937758,0.6611743589267629,0.8433524238541308
Morocco,2022,48,0.16449338269676572,0.6605026157655388,0.8425179673522903
Morocco,2023,48,0.1643134137475556,0.6561565601029318,0.8445967124802751
